,Word,Value
0,wifiactgetscanresult,100
1,valuconnecttowifi,352
2,functionnamiswifivariantsen,205
3,uidlcuid,75
4,onwificlickvalu,324
5,oncreatvalu,286
6,dffidba,252
7,cnameandroid,71
8,pskprotocol,60
9,mybranchefaabcbcd,259
10,setcurrentconfigvalu,172
11,fragmentactonresum,198
12,activwifimanageract,126
13,contextwrappstartservic,159
14,wparsn,62
15,printlaserjet,108
16,configurvalu,179
17,funwifiact,28
18,valugetconnectsummaryid,94
19,ontrimmemoricom,236
20,contextimplstartservic,156
21,classnambaseact,117
22,wifiwifi,298
23,compilversion,256
24,lnameandroid,74
25,haswidecolordisplairetriev,268
26,configssid,128
27,androidcontent,157
28,viewandroid,309
29,functionnamremovepassenterwindow,349
30,valuskip,180
31,testconnectedssid,175
32,testnotopen,357
33,functionnamforcescan,295
34,falsroamingfailureblacklisttimemilli,81
35,androidlastautofillid,310
36,unspecifinointernetaccessexpect,79
37,associreject,39
38,getscanresultlist,101
39,addnetworkget,361
40,enterprisconfig,67
41,valudetailedst,93
42,ondestroicom,235
43,authalgorithmopen,63
44,valuondestroi,190
45,wifiactconnect,369
46,valuprint,124
47,wifiactconnecttowifi,334
48,viewhierarchystbundl,308
49,valunetgear,120
50,appactiv,192
51,setsystemuivisstartservic,337
52,bssidnull,26
53,priohidden,53
54,valuwifien,207
55,appfragmentmanagerst,314
56,getsecuritytyptrue,326
57,userapprovuser,77
58,proxiset,69
59,onstartcom,191
60,networkselectionstatunetwork,55
61,viewview,331
62,baseactfunctionnam,118
63,iswapiconnectfals,359
64,functionnamhandlewifistatechang,299
65,haseverconnectfals,96
66,valupresentvisiblenetwork,112
67,testrse,116
68,onsaveinstancestcom,305
69,callfromvalu,351
70,functionnamonbindviewhold,317
71,providnull,48
72,valuoncreat,287
73,setonfocuschangelistenvalu,339
74,getwifibuttonstatutrue,282
75,connectconnect,370
76,wifiacthandleconnectednetworkvis,113
77,functionnamoncreat,285
78,androidsupport,195
79,togglewifisttrue,280
80,recentfailurassoci,38
81,configbssid,129
82,functionnamsetcurrentconfig,171
83,testautom,167
84,functionnamisinconnect,8
85,displaipassword,219
86,uidluid,72
87,errorintent,32
88,onrecerror,31
89,getnetwork,362
90,abssavedstandroid,98
91,eglversion,270
92,entercallfromdialogbutton,347
93,branchmybranchefaab,258
94,hidesoftinputfromwindowtrue,348
95,hmifun,24
96,onsaveinstancestentri,303
97,testhotspot,169
98,valusecur,4
99,configstorisurfaceflingerconfig,266
100,valugetsecuritytyp,325
101,directvqinltmsmj,105
102,pfpxff,262
103,functionnamhandlepassokclick,342
104,iswapivariantblockvalu,6
105,hardwarconfigstor,265
106,functionnamondestroi,188
107,valusave,83
108,nullbssid,49
109,functionnamfinallyconnect,373
110,valuhasfocu,340
111,acsiacorp,13
112,userandroid,154
113,maindatatrue,238
114,currentrse,174
115,wifidatatrue,240
116,actionassoc,383
117,activfullscreen,330
118,androidintent,382
119,functionnamhandleifwifiavailablenetwork,148
120,valuenabl,367
121,nullprio,52
122,acsiadev,23
123,valustate,301
124,testacsia,14
125,screenstatu,232
126,appfragmentact,197
127,startservicandroid,131
128,connecttowifiispasswordvalid,353
129,configurnetwork,144
130,functionnamgetwapivariantinfo,211
131,wificonfigur,143
132,valuhandlepassokclick,344
133,handlepassokclickssid,345
134,obtainipaddr,230
135,handleallavailnetworkvalu,37
136,securtype,7
137,valuentri,125
138,statutrue,233
139,actionandroid,33
140,allwifilistposit,320
141,valugetconnectsummari,135
142,valurse,12
143,valuacsia,11
144,hmiswr,99
145,buttononsaveinstancest,302
146,rejectcode,40
147,oncreatcom,283
148,protocolwpa,61
149,functionnamonresum,160
150,localbranch,257
151,truewifidata,239
152,builddff,251
153,testprint,170
154,registintentfilt,204
155,functionnammconnectlisten,378
156,getwapivariantinfovalu,212
157,funwifimanageract,147
158,functionnamhandleallavailnetwork,36
159,handlewifibuttonstatwifistat,244
160,onpausgetwifibuttonstatu,281
161,creatintent,328
162,acsiaguest,22
163,contentcontextwrapp,158
164,wifiactaddnetwork,360
165,valuscreen,231
166,androidviewhierarchyst,307
167,isinconnectvalu,9
168,wifiactfunctionnam,3
169,branchquic,260
170,ssidconfigur,178
171,onstopcom,187
172,initcontrolvalu,291
173,functionnamhandlewifimngstgbtnclick,272
174,testenter,346
175,onresumvalu,161
176,wifimanageractbundl,306
177,getconnectsummarissid,136
178,panasonhmiset,85
179,nointernetaccessexpectfals,80
180,mwifiscanreceivonrec,30
181,acsiamanag,21
182,wifimanageractstartact,275
183,androiduid,20
184,laserjetpro,109
185,supportapp,196
186,scanresult,215
187,onpaushandlewifibuttonstat,248
188,testnetgear,165
189,valuautom,122
190,functionnamssid,177
191,valuregist,203
192,handlewifistatechangvalu,300
193,ssidrse,25
194,sharethisapfals,82
195,ondestroivalu,189
196,valuconfig,43
197,wifiscan,214
198,getconnectsummaryidssid,95
199,functionnammwifiscanreceiv,29
200,functionnamiswapivariantblock,5
201,androidapp,130
202,wifimanageractonpaus,209
203,hidesoftkeyboardvalu,185
204,valuonresum,202
205,isclickedforconnectfals,377
206,qualifiuser,153
207,processqualifi,152
208,fqdnnull,51
209,androidnet,34
210,selectenabl,57
211,functionnamhandlenetworkstatechang,90
212,getwifistattrue,115
213,handleconnectednetworkvisvalu,242
214,activwifiact,119
215,valunull,142
216,xffxff,263
217,intentaction,27
218,bundlandroid,213
219,getsecuritytypwifinametru,322
220,luidlname,73
221,wifiactnull,284
222,functionnamhandleconnectednetworkvis,241
223,valucurrent,173
224,iswifivariantsenvalu,206
225,viewabssavedst,97
226,confignetid,127
227,testhuwifi,168
228,anomallog,381
229,pairwiseciphtkip,64
230,onresumcom,146
231,skipsave,181
232,forcescanvalu,296
233,finallyconnectnetworkssid,355
234,wpapsk,59
235,onstartstartservic,201
236,builddate,253
237,functionnaminitcontrol,290
238,wifiactiv,278
239,enterdialog,221
240,newnetwork,372
241,isurfaceflingerconfighaswidecolordisplai,267
242,enablsuccess,368
243,directdmatclwimsnl,106
244,valuaddnetwork,365
245,androidview,91
246,functionnamhidesoftkeyboard,184
247,erroronsuccess,380
248,haseverconnecttrue,137
249,removepassenterwindowcallfrom,350
250,availwifi,103
251,groupciphtkip,65
252,handlenetworkstatechangvalu,92
253,wifimanageracthandlewifibuttonstat,243
254,initviewvalu,289
255,functionnamconnectnewnetwork,224
256,valudirect,87
257,classnamwifimanageract,132
258,handleifwifiavailablenetworkconfig,149
259,initiegl,269
260,addviewmethod,223
261,swapbehavior,271
262,entricom,304
263,handlenetworkstatechangconfig,297
264,baiduhmi,16
265,functionnaminitview,288
266,startwifi,277
267,connectnew,371
268,lcuiduserapprov,76
269,actionactiv,329
270,hiddenfals,54
271,positgetsecuritytyp,321
272,detailedstscan,227
273,tkipccmp,19
274,handleconnectednetworkvisgetwifistat,114
275,netwifi,35
276,functionnamgetconfig,44
277,lastautofillidandroid,311
278,ssidvalu,375
279,onpauscom,183
280,wifiactaddview,217
281,reconstructbranch,261
282,registerintentfiltvalu,163
283,listavail,102
284,detailedstdisconnect,164
285,valuwifivari,292
286,keymgmtwpa,58
287,testprovid,47
288,onpausvalu,140
289,setsystemuiviscom,333
290,addviewdisplai,218
291,swrbaidu,15
292,functionnamgetconnectsummari,17
293,assocreject,384
294,valuhuwifi,121
295,handlewifimngstgbtnclickvalu,273
296,functionnamgetsavednetworklist,41
297,getconfigsuccess,45
298,androidfragment,312
299,testisclickedforconnect,376
300,valusavednetwork,111
301,finallyconnectssid,374
302,assigndhcp,68
303,nullfqdn,50
304,hmisetactiv,86
305,wifiadaptfunctionnam,316
306,activonresum,193
307,successnetid,226
308,detailedstobtain,229
309,valuhotspot,123
310,addnetworkmethod,364
311,startactstart,276
312,resultfals,294
313,statechang,89
314,valuhidesoftinputfromwindow,186
315,hidesoftinputfromwindowfals,234
316,getsavednetworklistvalu,42
317,wifihotspot,104
318,automtest,107
319,companason,84
320,functionnamhandleswitch,246
321,networkaddnetwork,363
322,valuallwifilist,319
323,testdirect,138
324,wifiactfinallyconnect,354
325,classnamwifiadapt,315
326,handlepassokclickvalu,343
327,wifistate,88
328,networkchang,145
329,valumaindata,237
330,callmethod,150
331,detailedstauthent,228
332,remotbranch,210
333,fragmentandroid,313
334,functionnamregisterintentfilt,162
335,functionnamonwificlick,323
336,cuidcname,70
337,handlewifibuttonstattrue,249
338,valuresult,293
339,configvalu,141
340,handleswitchvalu,247
341,viewsetsystemuivis,332
342,valuonpaus,182
343,mconnectlistenerror,379
344,functionnamonpaus,139
345,shadercompil,255
346,addnetworksuccess,366
347,passwordenter,220
348,activbaseact,199
349,androidhardwar,264
350,userunspecifi,78
351,promfp,110
352,successvalu,46
353,getconnectsummarivalu,18
354,wifimanageractfunctionnam,133
355,networkselect,56
