,Word,Count
0,onpauscom,4
1,companason,34
2,panasonhmiset,34
3,hmisetactiv,34
4,activwifiact,16
5,wifiactefefd,3
6,onstopcom,4
7,ondestroicom,2
8,ontrimmemoricom,2
9,activwifimanageract,14
10,onstartcom,4
11,onresumcom,8
12,callmethod,6
13,methodprocess,6
14,processqualifi,6
15,qualifiuser,6
16,userandroid,6
17,androidapp,12
18,appcontextimpl,6
19,contextimplstartservic,6
20,startservicandroid,12
21,androidcontent,6
22,contentcontextwrapp,6
23,contextwrappstartservic,6
24,appactiv,4
25,activonresum,4
26,onresumandroid,4
27,androidsupport,4
28,supportapp,4
29,appfragmentact,4
30,fragmentactonresum,4
31,activbaseact,4
32,baseactonresum,4
33,oncreatcom,2
34,wifiactnull,2
35,buttononsaveinstancest,2
36,onsaveinstancestentri,2
37,entricom,2
38,onsaveinstancestcom,2
39,wifimanageractbundl,2
40,bundlandroid,4
41,androidviewhierarchyst,2
42,viewhierarchystbundl,2
43,androidview,32
44,viewandroid,2
45,viewabssavedst,28
46,abssavedstandroid,28
47,androidlastautofillid,2
48,lastautofillidandroid,2
49,androidfragment,2
50,fragmentandroid,2
51,appfragmentmanagerst,2
52,fragmentmanagerstceaf,1
53,viewview,2
54,viewsetsystemuivis,2
55,setsystemuiviscom,2
56,wifiactconnecttowifi,2
57,connecttowificom,2
58,wifiactonwificlick,2
59,classnambaseact,7
60,baseactfunctionnam,7
61,functionnamondestroi,2
62,ondestroivalu,2
63,valuondestroi,2
64,classnamwifiact,785
65,wifiactfunctionnam,785
66,onstartstartservic,2
67,functionnamonresum,3
68,onresumvalu,3
69,valuonresum,2
70,functionnamregisterintentfilt,3
71,registerintentfiltvalu,3
72,valuregist,2
73,registintentfilt,2
74,classnamwifimanageract,6
75,wifimanageractfunctionnam,6
76,functionnamiswifivariantsen,2
77,iswifivariantsenvalu,2
78,valuentri,6
79,valumaindata,1
80,maindatatrue,1
81,truewifidata,1
82,wifidatatrue,1
83,functionnamhandleconnectednetworkvis,1
84,handleconnectednetworkvisvalu,1
85,valuwifien,2
86,wifientrue,2
87,swrbaidu,42
88,baiduhmi,42
89,hmifun,29
90,funwifimanageract,4
91,wifimanageracthandlewifibuttonstat,1
92,handlewifibuttonstatwifistat,1
93,wifistattrue,1
94,functionnamhandleswitch,1
95,handleswitchvalu,1
96,wifimanageractonpaus,2
97,onpaushandlewifibuttonstat,1
98,handlewifibuttonstattrue,1
99,qualcommbuild,1
100,builddff,1
101,dffidba,1
102,builddate,1
103,openglshader,1
104,shadercompil,1
105,compilversion,1
106,localbranch,1
107,branchmybranchefaab,1
108,mybranchefaabcbcd,1
109,remotbranch,2
110,branchquic,1
111,reconstructbranch,1
112,pfpxff,1
113,xffxff,1
114,androidhardwar,1
115,hardwarconfigstor,1
116,configstorisurfaceflingerconfig,1
117,isurfaceflingerconfighaswidecolordisplai,1
118,haswidecolordisplairetriev,1
119,initiegl,1
120,eglversion,1
121,swapbehavior,1
122,functionnamhandlewifimngstgbtnclick,1
123,handlewifimngstgbtnclickvalu,1
124,valuenter,1
125,hmiswr,13
126,wifimanageractstartact,1
127,startactstart,1
128,startwifi,1
129,wifiactiv,1
130,functionnamonpaus,2
131,onpausvalu,2
132,valuonpaus,1
133,valutogglewifist,1
134,togglewifisttrue,1
135,onpausgetwifibuttonstatu,1
136,getwifibuttonstatutrue,1
137,functionnamoncreat,1
138,oncreatvalu,1
139,valuoncreat,1
140,functionnaminitview,1
141,initviewvalu,1
142,functionnaminitcontrol,1
143,initcontrolvalu,1
144,funwifiact,25
145,wifiacthandleconnectednetworkvis,9
146,handleconnectednetworkvisgetwifistat,9
147,getwifistattrue,9
148,wifiactgetscanresult,11
149,getscanresultlist,11
150,listavail,11
151,availwifi,11
152,wifihotspot,11
153,functionnamiswapivariantblock,318
154,iswapivariantblockvalu,318
155,valusecur,328
156,securtype,318
157,functionnamisinconnect,318
158,isinconnectvalu,318
159,valuacsia,180
160,acsiadev,33
161,acsiacorp,99
162,acsiamanag,33
163,acsiaguest,33
164,valurse,76
165,rsetest,107
166,valunetgear,10
167,valuhuwifi,10
168,valudirect,20
169,directvqinltmsmj,11
170,valuautom,10
171,automtest,11
172,directdmatclwimsnl,11
173,valuhotspot,10
174,valuprint,10
175,printlaserjet,10
176,laserjetpro,10
177,promfp,10
178,functionnamhandleallavailnetwork,22
179,handleallavailnetworkvalu,22
180,valusavednetwork,11
181,valupresentvisiblenetwork,11
182,functionnamhandleifwifiavailablenetwork,4
183,handleifwifiavailablenetworkconfig,4
184,configvalu,5
185,valunull,5
186,functionnamgetwapivariantinfo,2
187,getwapivariantinfovalu,2
188,valuwifivari,1
189,valuresult,1
190,resultfals,1
191,functionnamforcescan,1
192,forcescanvalu,1
193,functionnammwifiscanreceiv,19
194,mwifiscanreceivonrec,19
195,onrecerror,19
196,errorintent,19
197,intentaction,20
198,actionandroid,19
199,androidnet,19
200,netwifi,19
201,wifistate,12
202,statechang,12
203,functionnamhandlenetworkstatechang,12
204,handlenetworkstatechangvalu,11
205,valudetailedst,11
206,detailedstdisconnect,2
207,handlenetworkstatechangconfig,1
208,wifiwifi,1
209,functionnamhandlewifistatechang,1
210,handlewifistatechangvalu,1
211,valustate,1
212,wifiscan,2
213,scanresult,2
214,backgroundconcurr,1
215,concurrcopi,1
216,copifreed,1
217,freedallocspac,1
218,allocspacobject,1
219,objectlo,1
220,loobject,1
221,objectfree,1
222,freepaus,1
223,paustotal,1
224,classnamwifiadapt,1
225,wifiadaptfunctionnam,1
226,functionnamonbindviewhold,1
227,onbindviewholdvalu,1
228,valuallwifilist,1
229,allwifilistposit,1
230,positgetsecuritytyp,1
231,getsecuritytypwifinametru,1
232,functionnamonwificlick,1
233,onwificlickvalu,1
234,valugetsecuritytyp,1
235,getsecuritytyptrue,1
236,setsystemuiviscreat,1
237,creatintent,1
238,actionaction,1
239,actionactiv,1
240,activfullscreen,1
241,setsystemuivisstartservic,1
242,wifiactaddview,2
243,addviewdisplai,2
244,displaipassword,2
245,passwordenter,2
246,enterdialog,2
247,dialogaddview,2
248,addviewmethod,2
249,functionnamsetonfocuschangelisten,1
250,setonfocuschangelistenvalu,1
251,valuhasfocu,1
252,hasfocutrue,1
253,functionnamhandlepassokclick,1
254,handlepassokclickvalu,1
255,valuhandlepassokclick,1
256,handlepassokclickssid,1
257,ssidrse,25
258,testenter,1
259,entercallfromdialogbutton,1
260,functionnamhidesoftkeyboard,1
261,hidesoftkeyboardvalu,1
262,valuhidesoftinputfromwindow,1
263,hidesoftinputfromwindowtrue,1
264,functionnamremovepassenterwindow,1
265,removepassenterwindowcallfrom,1
266,callfromvalu,1
267,valuconnecttowifi,1
268,connecttowifiispasswordvalid,1
269,wifiactfinallyconnect,1
270,finallyconnectnetworkssid,1
271,networkssidrse,1
272,testnotopen,1
273,notopeniswapiconnect,1
274,iswapiconnectfals,1
275,wifiactaddnetwork,1
276,addnetworkget,1
277,getnetwork,1
278,networkaddnetwork,1
279,addnetworkmethod,1
280,functionnamconnectnewnetwork,2
281,connectnewnetworkvalu,2
282,valuaddnetwork,1
283,addnetworksuccess,1
284,successnetid,2
285,valuenabl,1
286,enablsuccess,1
287,wifiactconnect,1
288,connectconnect,1
289,connectnew,1
290,newnetwork,1
291,functionnamfinallyconnect,1
292,finallyconnectssid,1
293,ssidvalu,1
294,testisclickedforconnect,1
295,isclickedforconnectfals,1
296,functionnammconnectlisten,1
297,mconnectlistenerror,1
298,erroronsuccess,1
299,wificonfigur,5
300,configurnetwork,5
301,networkchang,5
302,functionnamgetsavednetworklist,21
303,getsavednetworklistvalu,21
304,valuconfig,21
305,confignetid,7
306,configssid,7
307,configbssid,7
308,bssidnull,24
309,functionnamgetconfig,17
310,getconfigsuccess,17
311,successvalu,17
312,functionnamgetconnectsummari,34
313,getconnectsummarivalu,34
314,valugetconnectsummaryid,11
315,getconnectsummaryidssid,11
316,testprovid,17
317,providnull,17
318,nullbssid,17
319,nullfqdn,17
320,fqdnnull,17
321,nullprio,17
322,priohidden,17
323,hiddenfals,17
324,networkselectionstatunetwork,17
325,networkselect,17
326,selectenabl,17
327,haseverconnectfals,11
328,keymgmtwpa,17
329,wpapsk,17
330,pskprotocol,17
331,protocolwpa,17
332,wparsn,17
333,authalgorithmopen,17
334,pairwiseciphtkip,17
335,tkipccmp,34
336,groupciphtkip,17
337,simnum,17
338,enterprisconfig,17
339,assigndhcp,17
340,proxiset,17
341,cuidcname,17
342,cnameandroid,17
343,androiduid,34
344,uidluid,17
345,luidlname,17
346,lnameandroid,17
347,uidlcuid,17
348,lcuiduserapprov,17
349,userapprovuser,17
350,userunspecifi,17
351,unspecifinointernetaccessexpect,17
352,nointernetaccessexpectfals,17
353,falsroamingfailureblacklisttimemilli,17
354,recentfailurassoci,17
355,associreject,17
356,rejectcode,17
357,sharethisapfals,17
358,valusave,17
359,detailedstscan,1
360,detailedstconnect,4
361,detailedstauthent,2
362,detailedstobtain,2
363,obtainipaddr,2
364,valugetconnectsummari,6
365,getconnectsummarissid,6
366,haseverconnecttrue,6
367,testacsia,18
368,testrse,3
369,testsecur,1
370,testnetgear,1
371,testhuwifi,1
372,testdirect,2
373,testautom,1
374,testhotspot,1
375,functionnamsetcurrentconfig,1
376,setcurrentconfigvalu,1
377,valucurrent,1
378,currentrse,1
379,testconnectedssid,1
380,connectedssidrse,1
381,functionnamssid,1
382,ssidconfigur,1
383,configurvalu,1
384,valuskip,1
385,skipsave,1
