,Word,Value
0,wifiactgetscanresult,104
1,valuconnecttowifi,325
2,functionnamiswifivariantsen,183
3,uidlcuid,78
4,onwificlickvalu,301
5,oncreatvalu,260
6,dffidba,226
7,cnameandroid,74
8,pskprotocol,63
9,mybranchefaabcbcd,233
10,fragmentactonresum,176
11,activwifimanageract,103
12,contextwrappstartservic,148
13,wparsn,65
14,printlaserjet,117
15,funwifiact,24
16,valugetconnectsummaryid,47
17,ontrimmemoricom,210
18,contextimplstartservic,145
19,classnambaseact,97
20,wifiwifi,272
21,compilversion,230
22,lnameandroid,77
23,haswidecolordisplairetriev,242
24,configssid,158
25,androidcontent,146
26,viewandroid,283
27,functionnamremovepassenterwindow,322
28,functionnamforcescan,269
29,falsroamingfailureblacklisttimemilli,84
30,androidlastautofillid,284
31,unspecifinointernetaccessexpect,82
32,associreject,86
33,getscanresultlist,105
34,addnetworkget,334
35,enterprisconfig,70
36,valudetailedst,101
37,ondestroicom,209
38,authalgorithmopen,66
39,valuondestroi,168
40,wifiactconnect,342
41,valuprint,116
42,wifiactconnecttowifi,307
43,viewhierarchystbundl,282
44,valunetgear,109
45,appactiv,170
46,setsystemuivisstartservic,310
47,bssidnull,43
48,priohidden,55
49,valuwifien,185
50,appfragmentmanagerst,288
51,getsecuritytyptrue,303
52,userapprovuser,80
53,proxiset,72
54,onstartcom,169
55,networkselectionstatunetwork,57
56,viewview,304
57,baseactfunctionnam,98
58,iswapiconnectfals,332
59,functionnamhandlewifistatechang,273
60,haseverconnectfals,60
61,valupresentvisiblenetwork,121
62,onsaveinstancestcom,279
63,truewifidata,213
64,functionnamonbindviewhold,294
65,providnull,50
66,valuoncreat,261
67,setonfocuschangelistenvalu,312
68,directyoatlpmsdu,137
69,getwifibuttonstatutrue,256
70,connectconnect,343
71,wifiacthandleconnectednetworkvis,126
72,functionnamoncreat,259
73,androidsupport,173
74,togglewifisttrue,254
75,recentfailurassoci,85
76,configbssid,159
77,detailedstscan,354
78,displaipassword,195
79,uidluid,75
80,errorintent,38
81,onrecerror,37
82,getnetwork,335
83,abssavedstandroid,33
84,eglversion,244
85,entercallfromdialogbutton,320
86,branchmybranchefaab,232
87,hidesoftinputfromwindowtrue,321
88,hmifun,16
89,testnotopen,330
90,wifidatatrue,214
91,valusecur,4
92,configstorisurfaceflingerconfig,240
93,valugetsecuritytyp,302
94,directvqinltmsmj,111
95,pfpxff,236
96,iswapivariantblockvalu,6
97,hardwarconfigstor,239
98,onsaveinstancestentri,277
99,valusave,89
100,nullbssid,51
101,functionnamfinallyconnect,346
102,valuhasfocu,313
103,functionnamhandleallavailnetwork,30
104,handlewifistatechangvalu,274
105,maindatatrue,212
106,getsecuritytypwifinametru,299
107,functionnamhandleifwifiavailablenetwork,135
108,valuenabl,340
109,nullprio,54
110,acsiadev,18
111,valustate,275
112,screenstatu,206
113,appfragmentact,175
114,startservicandroid,123
115,connecttowifiispasswordvalid,326
116,configurnetwork,155
117,functionnamgetwapivariantinfo,189
118,wificonfigur,154
119,valuhandlepassokclick,317
120,handlepassokclickssid,318
121,handleallavailnetworkvalu,31
122,securtype,7
123,valuentri,102
124,valumaindata,211
125,statutrue,207
126,actionandroid,40
127,wifiactffbc,153
128,allwifilistposit,297
129,valurse,13
130,valuacsia,10
131,hmiswr,90
132,buttononsaveinstancest,276
133,rejectcode,87
134,oncreatcom,257
135,protocolwpa,64
136,valuonpaus,160
137,callfromvalu,324
138,builddff,225
139,registintentfilt,182
140,functionnammconnectlisten,351
141,getwapivariantinfovalu,190
142,funwifimanageract,134
143,acsiacorp,11
144,handlewifibuttonstatwifistat,218
145,ondestroivalu,167
146,onpausgetwifibuttonstatu,255
147,obtainipaddr,356
148,acsiaguest,19
149,functionnamondestroi,166
150,contentcontextwrapp,147
151,valuscreen,205
152,androidviewhierarchyst,281
153,isinconnectvalu,9
154,wifiactfunctionnam,3
155,branchquic,234
156,hidesoftkeyboardvalu,163
157,notopeniswapiconnect,331
158,initcontrolvalu,265
159,functionnamhandlewifimngstgbtnclick,246
160,testenter,319
161,onresumvalu,150
162,wifimanageractbundl,280
163,panasonhmiset,27
164,nointernetaccessexpectfals,83
165,mwifiscanreceivonrec,36
166,acsiamanag,17
167,wifimanageractstartact,249
168,androiduid,23
169,laserjetpro,118
170,supportapp,174
171,wifiactcdbb,138
172,onpaushandlewifibuttonstat,222
173,valuautom,113
174,valuregist,181
175,userandroid,143
176,ssidrse,34
177,sharethisapfals,88
178,pairwiseciphtkip,67
179,valuconfig,96
180,wifiscan,290
181,getconnectsummaryidssid,48
182,detailedstconnect,203
183,functionnamiswapivariantblock,5
184,androidapp,122
185,wifimanageractonpaus,187
186,valuonresum,180
187,isclickedforconnectfals,350
188,qualifiuser,142
189,processqualifi,141
190,fqdnnull,53
191,androidnet,41
192,selectenabl,59
193,onstopcom,165
194,functionnamhandlenetworkstatechang,93
195,getwifistattrue,128
196,handleconnectednetworkvisvalu,216
197,activwifiact,99
198,valunull,132
199,xffxff,237
200,intentaction,39
201,bundlandroid,192
202,luidlname,76
203,functionnamhandleconnectednetworkvis,215
204,iswifivariantsenvalu,184
205,viewabssavedst,32
206,fragmentmanagerstbde,289
207,confignetid,157
208,functionnamhandlepassokclick,315
209,onresumcom,133
210,forcescanvalu,270
211,finallyconnectnetworkssid,328
212,wpapsk,62
213,onstartstartservic,179
214,builddate,227
215,functionnaminitcontrol,264
216,wifiactiv,252
217,enterdialog,197
218,newnetwork,345
219,isurfaceflingerconfighaswidecolordisplai,241
220,enablsuccess,341
221,directdmatclwimsnl,112
222,valuaddnetwork,338
223,androidview,29
224,functionnamhidesoftkeyboard,162
225,erroronsuccess,353
226,localbranch,231
227,removepassenterwindowcallfrom,323
228,availwifi,107
229,groupciphtkip,68
230,handlenetworkstatechangvalu,100
231,wifimanageracthandlewifibuttonstat,217
232,initviewvalu,263
233,functionnamconnectnewnetwork,200
234,valudirect,25
235,classnamwifimanageract,124
236,handleifwifiavailablenetworkconfig,136
237,initiegl,243
238,addviewmethod,199
239,swapbehavior,245
240,entricom,278
241,handlenetworkstatechangconfig,271
242,baiduhmi,15
243,functionnaminitview,262
244,startwifi,251
245,connectnew,344
246,lcuiduserapprov,79
247,hiddenfals,56
248,positgetsecuritytyp,298
249,functionnamisinconnect,8
250,tkipccmp,22
251,handleconnectednetworkvisgetwifistat,127
252,netwifi,42
253,functionnamgetconfig,44
254,lastautofillidandroid,285
255,ssidvalu,348
256,onpauscom,161
257,wifiactaddview,193
258,reconstructbranch,235
259,registerintentfiltvalu,152
260,listavail,106
261,detailedstdisconnect,191
262,valuwifivari,266
263,keymgmtwpa,61
264,testprovid,49
265,onpausvalu,130
266,setsystemuiviscom,306
267,addviewdisplai,194
268,swrbaidu,14
269,functionnamgetconnectsummari,20
270,valuhuwifi,110
271,handlewifimngstgbtnclickvalu,247
272,functionnamgetsavednetworklist,94
273,getconfigsuccess,45
274,androidfragment,286
275,testisclickedforconnect,349
276,valusavednetwork,120
277,finallyconnectssid,347
278,assigndhcp,71
279,nullfqdn,52
280,hmisetactiv,28
281,wifiadaptfunctionnam,293
282,activonresum,171
283,successnetid,202
284,detailedstobtain,355
285,valuhotspot,115
286,addnetworkmethod,337
287,startactstart,250
288,resultfals,268
289,statechang,92
290,valuhidesoftinputfromwindow,164
291,hidesoftinputfromwindowfals,208
292,getsavednetworklistvalu,95
293,wifihotspot,108
294,automtest,114
295,companason,26
296,functionnamhandleswitch,220
297,networkaddnetwork,336
298,valuallwifilist,296
299,wifiactfinallyconnect,327
300,classnamwifiadapt,292
301,handlepassokclickvalu,316
302,wifistate,91
303,networkchang,156
304,scanresult,291
305,callmethod,139
306,detailedstauthent,204
307,remotbranch,188
308,fragmentandroid,287
309,functionnamregisterintentfilt,151
310,functionnamonwificlick,300
311,cuidcname,73
312,handlewifibuttonstattrue,223
313,valuresult,267
314,configvalu,131
315,handleswitchvalu,221
316,viewsetsystemuivis,305
317,functionnamonresum,149
318,mconnectlistenerror,352
319,functionnamonpaus,129
320,shadercompil,229
321,addnetworksuccess,339
322,passwordenter,196
323,activbaseact,177
324,androidhardwar,238
325,userunspecifi,81
326,promfp,119
327,successvalu,46
328,getconnectsummarivalu,21
329,wifimanageractfunctionnam,125
330,networkselect,58
331,functionnammwifiscanreceiv,35
332,onresumandroid,172
333,qualcommbuild,224
334,connectnewnetworkvalu,201
335,100001,1
336,dialogaddview,198
337,wifistattrue,219
338,openglshader,228
339,appcontextimpl,144
340,connecttowificom,308
341,methodprocess,140
342,onbindviewholdvalu,295
343,hasfocutrue,314
344,ffbcnull,258
345,networkssidrse,329
346,classnamwifiact,2
347,wifientrue,186
348,simnum,69
349,wifiactonwificlick,309
350,valutogglewifist,253
351,baseactonresum,178
352,valuenter,248
353,wifiactaddnetwork,333
354,functionnamsetonfocuschangelisten,311
355,rsetest,12
