,Word,Count
0,oncreatstart,1
1,oncreatcom,1
2,companason,907
3,panasondairs,907
4,dairsusbswdl,907
5,usbswdlswdlactiv,6
6,swdlactivnull,1
7,setupactionbarstart,1
8,setupactionbarend,1
9,setupfindviewbyidstart,1
10,setupfindviewbyidend,1
11,oncreatend,1
12,onstartcom,1
13,onresumstart,1
14,getstatustart,1230
15,getstatuexit,1229
16,swdlfun,2443
17,funswdlactiv,1905
18,swdlactivonresum,4
19,onresumstatu,1
20,statuidl,11
21,bindswdlandrservicstart,1
22,bindswdlandrservicend,1
23,callmethod,4
24,methodprocess,4
25,processqualifi,4
26,qualifiuser,4
27,userandroid,4
28,androidapp,8
29,appcontextimpl,4
30,contextimplbindservic,2
31,bindservicandroid,2
32,androidcontent,4
33,contentcontextwrapp,4
34,contextwrappbindservic,2
35,bindserviccom,2
36,onresumandroid,3
37,appinstrument,2
38,instrumentcallactivityonresum,2
39,callactivityonresumandroid,1
40,appactiv,2
41,activperformresum,1
42,registerreceivstart,1
43,registerreceivend,1
44,registerupdatebroadcaststart,1
45,registerupdatebroadcastend,1
46,enggetserviceconnectstart,1
47,usbswdlsupport,1
48,supportusbswdlappl,1
49,usbswdlapplenggetserviceconnect,1
50,enggetserviceconnectcom,1
51,enggetserviceconnectend,1
52,onresumend,1
53,onresumcom,2
54,contextimplstartservic,2
55,startservicandroid,3
56,contextwrappstartservic,2
57,activonresum,1
58,androidsupport,1
59,supportapp,1
60,appfragmentact,1
61,fragmentactonresum,1
62,onstartstartservic,1
63,hwuipipelin,1
64,onserviceconnectstart,1
65,funusbswdlappl,1
66,usbswdlapplonserviceconnect,1
67,onserviceconnectreadservic,1
68,readservicconnect,1
69,onserviceconnectonrsesoftwaredetailslisten,1
70,onrsesoftwaredetailslistenrespons,1
71,onresponsstart,1
72,showcurrentversstart,1
73,showcurrentversend,1
74,onresponsend,1
75,onserviceconnectend,1
76,qualcommbuild,1
77,builddff,1
78,dffidba,1
79,builddate,1
80,openglshader,1
81,shadercompil,1
82,compilversion,1
83,localbranch,1
84,branchmybranchefaab,1
85,mybranchefaabcbcd,1
86,remotbranch,2
87,branchquic,1
88,reconstructbranch,1
89,pfpxff,1
90,xffxff,1
91,androidhardwar,1
92,hardwarconfigstor,1
93,configstorisurfaceflingerconfig,1
94,isurfaceflingerconfighaswidecolordisplai,1
95,haswidecolordisplairetriev,1
96,bindswdlandrservicswdlandr,1
97,swdlandrservic,1
98,servicconnect,1
99,scanfordevicstart,1
100,getmounteddeviceliststart,2
101,initiegl,1
102,eglversion,1
103,swapbehavior,1
104,getstorageliststart,1
105,funstorageutil,2
106,storageutilgetstoragelist,2
107,getstoragelistmount,5
108,mountavail,4
109,uidcom,3
110,usbswdlident,3
111,identline,3
112,getstoragelistpublic,1
113,publicmount,1
114,getstoragelistmedia,1
115,mediamount,1
116,mountpoint,1
117,pointmnt,1
118,mntmedia,1
119,getstoragelistclose,1
120,closereader,1
121,getstoragelistexit,1
122,scanusbforupdatefilstart,1
123,sendusbbroadcaststart,180
124,funusbbroadcastmanag,180
125,usbbroadcastmanagsendusbbroadcast,180
126,sendusbbroadcastbroadcasttyp,178
127,broadcasttypusb,178
128,usbswdl,1425
129,swdlrespons,509
130,responsmessag,170
131,messagscan,8
132,scanusb,5
133,usbdevic,5
134,devicvalu,1
135,sendusbbroadcastend,180
136,funusbdownloadmanag,4
137,usbdownloadmanagscanusbforupdatefil,1
138,scanusbforupdatefilmounteddevic,1
139,mounteddeviccom,1
140,usbswdlutil,1
141,utilstorageutil,1
